SaleID,CustomerID,ProductID,Quantity,Price,SaleDate,CustomerName,ProductName,Region,SalesRep,TotalAmount,SalesDate
1,4396,410,10,1998.02,2021-04-27 00:00:00,Tiffany Harvey,Laptop,Asia,Lynn Franco,19980.2000,2021-04-27
2,6728,287,4,72.03,2020-02-17 00:00:00,Kelly Davis,Mouse,Asia,Martin Thomas,288.1200,2020-02-17
3,5168,405,2,650.16,2021-11-03 00:00:00,Lori Orr,Keyboard,Asia,Teresa Mosley,1300.3200,2021-11-03
4,1100,59,6,715.66,2023-01-23 00:00:00,Megan Castro,Keyboard,Australia,Amy Gutierrez,4293.9600,2023-01-23
5,1477,427,3,428.33,2023-09-04 00:00:00,Kevin Landry,Tablet,Africa,Nicholas Miller,1284.9900,2023-09-04
6,8849,470,8,1604.65,2022-08-15 00:00:00,Shannon Roberson,Smartphone,South America,Stephen Lee,12837.2000,2022-08-15
7,3545,322,8,1789.51,2022-01-04 00:00:00,Alexis Morris,Tablet,South America,Christina Moreno,14316.0800,2022-01-04
8,7782,476,1,1678.46,2020-09-05 00:00:00,Mason Rodriguez,Keyboard,Africa,Casey Austin,1678.4600,2020-09-05
9,6169,285,9,86.5,2022-03-28 00:00:00,Daniel Estrada,Mouse,Asia,Savannah Smith,778.5000,2022-03-28
10,6793,34,3,596.9,2019-03-05 00:00:00,Grace Campbell,Tablet,South America,Sandra Johnson,1790.7000,2019-03-05
11,9753,432,3,1163.41,2021-03-08 00:00:00,Eugene Montoya,Smartphone,Australia,Jamie Crawford,3490.2300,2021-03-08
12,2914,443,5,1425.27,2020-10-06 00:00:00,Anne Thompson,Mouse,North America,Katherine Wilkinson,7126.3500,2020-10-06
13,5448,212,2,1019.26,2020-05-01 00:00:00,Ashley Hebert,Tablet,South America,Jordan Higgins,2038.5200,2020-05-01
14,5958,111,9,639.52,2019-08-18 00:00:00,Evan Johnson,Tablet,North America,Mary Gomez,5755.6800,2019-08-18
15,4311,468,2,915.36,2019-02-21 00:00:00,Robert Hoffman,Headphones,South America,Joseph Thompson,1830.7200,2019-02-21
16,9192,79,4,713.23,2021-09-17 00:00:00,Joe Little,Mouse,Australia,Andrew Jones,2852.9200,2021-09-17
17,6084,398,6,329.43,2023-11-21 00:00:00,Dr. Herbert Duffy,Laptop,Australia,Joshua Santiago,1976.5800,2023-11-21
18,3174,106,1,945.77,2023-01-01 00:00:00,Mary Bowen,Headphones,Australia,Julie Durham,945.7700,2023-01-01
19,2897,3,5,1868.06,2022-11-08 00:00:00,Craig Valenzuela,Headphones,Australia,Ian Moyer,9340.3000,2022-11-08
20,2426,171,8,1783.91,2019-07-31 00:00:00,Jessica Harris,Keyboard,Africa,Jeremy Williams,14271.2800,2019-07-31
21,6119,12,10,1529.06,2022-08-01 00:00:00,Ronald Campbell,Smartphone,Asia,Gary Mcpherson,15290.6000,2022-08-01
22,4285,99,5,589.47,2020-10-15 00:00:00,Cory Osborne,Headphones,South America,Connor Ray,2947.3500,2020-10-15
23,2927,140,3,357.12,2019-08-23 00:00:00,Maria Scott,Laptop,Australia,Teresa Hale,1071.3600,2019-08-23
24,9422,53,4,1107.93,2022-01-30 00:00:00,Veronica Moody,Tablet,Asia,Allison Hogan,4431.7200,2022-01-30
25,3319,483,5,1169.46,2019-12-17 00:00:00,Courtney Arnold,Laptop,Asia,Travis Reilly,5847.3000,2019-12-17
26,6549,277,8,148.92,2019-03-01 00:00:00,William Nguyen,Monitor,Africa,Traci Murphy,1191.3600,2019-03-01
27,1826,55,7,154.91,2021-05-23 00:00:00,Teresa Armstrong,Monitor,Europe,Lori Nelson,1084.3700,2021-05-23
28,8304,316,6,659.26,2023-08-02 00:00:00,Michelle Mclaughlin,Smartphone,Africa,Steven Hoover,3955.5600,2023-08-02
29,9740,41,8,1157.19,2019-07-10 00:00:00,Kelly Flores,Headphones,Africa,Heather Vargas,9257.5200,2019-07-10
30,8672,50,8,655.26,2022-08-12 00:00:00,Mary Price,Mouse,South America,Cindy Payne,5242.0800,2022-08-12
31,8709,119,4,330.26,2022-06-17 00:00:00,Jonathan Rodgers,Tablet,Asia,Derrick Smith,1321.0400,2022-06-17
32,7423,94,6,1588.12,2023-12-13 00:00:00,Dominique Williams,Tablet,South America,Annette Hill,9528.7200,2023-12-13
33,8987,16,2,976.9,2020-12-20 00:00:00,Miss Shari Sanchez DDS,Monitor,South America,Joshua King,1953.8000,2020-12-20
34,3798,145,6,1228.66,2019-09-18 00:00:00,Sandra Stevens,Keyboard,North America,Brittany Silva,7371.9600,2019-09-18
35,7646,419,2,685.45,2022-08-23 00:00:00,Kimberly Lopez,Laptop,Asia,Nina Hill,1370.9000,2022-08-23
36,9728,237,7,1201.55,2020-05-03 00:00:00,Tonya Spence,Keyboard,Europe,Seth Stokes,8410.8500,2020-05-03
37,9977,82,8,798.44,2020-11-28 00:00:00,Ryan Russell,Smartphone,Africa,Kelly Woods,6387.5200,2020-11-28
38,8063,402,7,1156.06,2020-12-01 00:00:00,Dwayne Brown,Keyboard,Africa,Wendy Tyler,8092.4200,2020-12-01
39,4869,89,2,1491.77,2022-12-28 00:00:00,William Jones,Keyboard,South America,Casey Morgan,2983.5400,2022-12-28
40,2873,304,10,952.67,2022-02-10 00:00:00,David Anderson,Laptop,South America,Beth Campbell,9526.7000,2022-02-10
41,3886,158,7,185.73,2019-08-11 00:00:00,Gabriel Evans,Mouse,Australia,Linda Flores,1300.1100,2019-08-11
42,7208,168,8,1307.73,2019-05-06 00:00:00,Stacey Rivas,Laptop,Europe,Daniel Floyd,10461.8400,2019-05-06
43,3276,455,10,1811.35,2022-07-26 00:00:00,Aaron Smith,Headphones,North America,Andrea Turner,18113.5000,2022-07-26
44,3403,339,3,933.3,2020-08-19 00:00:00,Anthony Reed,Monitor,Australia,Sean Walton,2799.9000,2020-08-19
45,8326,101,4,1378.96,2020-10-10 00:00:00,Jon Gomez,Tablet,Australia,Kylie Cervantes,5515.8400,2020-10-10
46,5989,471,7,1449.69,2020-12-06 00:00:00,Angela Crosby,Laptop,Australia,Cory Davis,10147.8300,2020-12-06
47,1133,314,9,838.18,2019-09-19 00:00:00,Allen Tanner,Headphones,Asia,Douglas Moon,7543.6200,2019-09-19
48,2022,190,9,1937.4,2019-01-02 00:00:00,Jason Sims,Mouse,Australia,Caleb Marshall,17436.6000,2019-01-02
49,6885,57,5,1738.08,2020-04-26 00:00:00,Alfred Sanford,Monitor,Africa,James Richards,8690.4000,2020-04-26
50,7459,321,6,1437.96,2021-04-11 00:00:00,Ryan Fields,Monitor,South America,Jacob Kirby,8627.7600,2021-04-11
51,9931,109,3,976.0,2020-01-21 00:00:00,Peter Garcia,Keyboard,South America,Heather Butler,2928.0000,2020-01-21
52,6902,431,7,350.82,2023-11-23 00:00:00,Julie Arnold,Mouse,Europe,Gregory Brown,2455.7400,2023-11-23
53,3200,6,2,1314.36,2019-10-22 00:00:00,Mark Marshall,Mouse,South America,Jeffery Daniel,2628.7200,2019-10-22
54,8155,500,3,215.09,2022-08-08 00:00:00,Brenda Gordon,Headphones,South America,James Smith,645.2700,2022-08-08
55,8471,458,10,1864.11,2022-06-30 00:00:00,Jamie Bell,Smartphone,South America,Chad Collins,18641.1000,2022-06-30
56,9346,218,9,1649.14,2021-02-26 00:00:00,Ann Howard,Tablet,Europe,April Poole,14842.2600,2021-02-26
57,4044,218,10,64.49,2021-10-17 00:00:00,Anthony Black,Headphones,Africa,Victor Anderson,644.9000,2021-10-17
