SaleID,CustomerID,ProductID,Quantity,Price,TotalAmount,SalesDate,CustomerName,ProductName,Region,SalesRep
1,4396,410,10,1998.02,19980.2000,2021-04-27,Tiffany Harvey,Laptop,Asia,Lynn Franco
2,6728,287,4,72.03,288.1200,2020-02-17,Kelly Davis,Mouse,Asia,Martin Thomas
3,5168,405,2,650.16,1300.3200,2021-11-03,Lori Orr,Keyboard,Asia,Teresa Mosley
4,1100,59,6,715.66,4293.9600,2023-01-23,Megan Castro,Keyboard,Australia,Amy Gutierrez
5,1477,427,3,428.33,1284.9900,2023-09-04,Kevin Landry,Tablet,Africa,Nicholas Miller
6,8849,470,8,1604.65,12837.2000,2022-08-15,Shannon Roberson,Smartphone,South America,Stephen Lee
7,3545,322,8,1789.51,14316.0800,2022-01-04,Alexis Morris,Tablet,South America,Christina Moreno
8,7782,476,1,1678.46,1678.4600,2020-09-05,Mason Rodriguez,Keyboard,Africa,Casey Austin
9,6169,285,9,86.5,778.5000,2022-03-28,Daniel Estrada,Mouse,Asia,Savannah Smith
10,6793,34,3,596.9,1790.7000,2019-03-05,Grace Campbell,Tablet,South America,Sandra Johnson
11,9753,432,3,1163.41,3490.2300,2021-03-08,Eugene Montoya,Smartphone,Australia,Jamie Crawford
12,2914,443,5,1425.27,7126.3500,2020-10-06,Anne Thompson,Mouse,North America,Katherine Wilkinson
13,5448,212,2,1019.26,2038.5200,2020-05-01,Ashley Hebert,Tablet,South America,Jordan Higgins
14,5958,111,9,639.52,5755.6800,2019-08-18,Evan Johnson,Tablet,North America,Mary Gomez
15,4311,468,2,915.36,1830.7200,2019-02-21,Robert Hoffman,Headphones,South America,Joseph Thompson
16,9192,79,4,713.23,2852.9200,2021-09-17,Joe Little,Mouse,Australia,Andrew Jones
17,6084,398,6,329.43,1976.5800,2023-11-21,Dr. Herbert Duffy,Laptop,Australia,Joshua Santiago
18,3174,106,1,945.77,945.7700,2023-01-01,Mary Bowen,Headphones,Australia,Julie Durham
19,2897,3,5,1868.06,9340.3000,2022-11-08,Craig Valenzuela,Headphones,Australia,Ian Moyer
20,2426,171,8,1783.91,14271.2800,2019-07-31,Jessica Harris,Keyboard,Africa,Jeremy Williams
21,6119,12,10,1529.06,15290.6000,2022-08-01,Ronald Campbell,Smartphone,Asia,Gary Mcpherson
22,4285,99,5,589.47,2947.3500,2020-10-15,Cory Osborne,Headphones,South America,Connor Ray
23,2927,140,3,357.12,1071.3600,2019-08-23,Maria Scott,Laptop,Australia,Teresa Hale
24,9422,53,4,1107.93,4431.7200,2022-01-30,Veronica Moody,Tablet,Asia,Allison Hogan
25,3319,483,5,1169.46,5847.3000,2019-12-17,Courtney Arnold,Laptop,Asia,Travis Reilly
26,6549,277,8,148.92,1191.3600,2019-03-01,William Nguyen,Monitor,Africa,Traci Murphy
27,1826,55,7,154.91,1084.3700,2021-05-23,Teresa Armstrong,Monitor,Europe,Lori Nelson
28,8304,316,6,659.26,3955.5600,2023-08-02,Michelle Mclaughlin,Smartphone,Africa,Steven Hoover
29,9740,41,8,1157.19,9257.5200,2019-07-10,Kelly Flores,Headphones,Africa,Heather Vargas
30,8672,50,8,655.26,5242.0800,2022-08-12,Mary Price,Mouse,South America,Cindy Payne
31,8709,119,4,330.26,1321.0400,2022-06-17,Jonathan Rodgers,Tablet,Asia,Derrick Smith
32,7423,94,6,1588.12,9528.7200,2023-12-13,Dominique Williams,Tablet,South America,Annette Hill
33,8987,16,2,976.9,1953.8000,2020-12-20,Miss Shari Sanchez DDS,Monitor,South America,Joshua King
34,3798,145,6,1228.66,7371.9600,2019-09-18,Sandra Stevens,Keyboard,North America,Brittany Silva
35,7646,419,2,685.45,1370.9000,2022-08-23,Kimberly Lopez,Laptop,Asia,Nina Hill
36,9728,237,7,1201.55,8410.8500,2020-05-03,Tonya Spence,Keyboard,Europe,Seth Stokes
37,9977,82,8,798.44,6387.5200,2020-11-28,Ryan Russell,Smartphone,Africa,Kelly Woods
38,8063,402,7,1156.06,8092.4200,2020-12-01,Dwayne Brown,Keyboard,Africa,Wendy Tyler
39,4869,89,2,1491.77,2983.5400,2022-12-28,William Jones,Keyboard,South America,Casey Morgan
40,2873,304,10,952.67,9526.7000,2022-02-10,David Anderson,Laptop,South America,Beth Campbell
41,3886,158,7,185.73,1300.1100,2019-08-11,Gabriel Evans,Mouse,Australia,Linda Flores
42,7208,168,8,1307.73,10461.8400,2019-05-06,Stacey Rivas,Laptop,Europe,Daniel Floyd
43,3276,455,10,1811.35,18113.5000,2022-07-26,Aaron Smith,Headphones,North America,Andrea Turner
44,3403,339,3,933.3,2799.9000,2020-08-19,Anthony Reed,Monitor,Australia,Sean Walton
45,8326,101,4,1378.96,5515.8400,2020-10-10,Jon Gomez,Tablet,Australia,Kylie Cervantes
46,5989,471,7,1449.69,10147.8300,2020-12-06,Angela Crosby,Laptop,Australia,Cory Davis
47,1133,314,9,838.18,7543.6200,2019-09-19,Allen Tanner,Headphones,Asia,Douglas Moon
48,2022,190,9,1937.4,17436.6000,2019-01-02,Jason Sims,Mouse,Australia,Caleb Marshall
49,6885,57,5,1738.08,8690.4000,2020-04-26,Alfred Sanford,Monitor,Africa,James Richards
50,7459,321,6,1437.96,8627.7600,2021-04-11,Ryan Fields,Monitor,South America,Jacob Kirby
51,9931,109,3,976.0,2928.0000,2020-01-21,Peter Garcia,Keyboard,South America,Heather Butler
52,6902,431,7,350.82,2455.7400,2023-11-23,Julie Arnold,Mouse,Europe,Gregory Brown
53,3200,6,2,1314.36,2628.7200,2019-10-22,Mark Marshall,Mouse,South America,Jeffery Daniel
54,8155,500,3,215.09,645.2700,2022-08-08,Brenda Gordon,Headphones,South America,James Smith
55,8471,458,10,1864.11,18641.1000,2022-06-30,Jamie Bell,Smartphone,South America,Chad Collins
56,9346,218,9,1649.14,14842.2600,2021-02-26,Ann Howard,Tablet,Europe,April Poole
57,4044,218,10,64.49,644.9000,2021-10-17,Anthony Black,Headphones,Africa,Victor Anderson
58,4878,365,9,575.04,5175.3600,2022-01-23,Rodney Burch,Keyboard,Asia,Matthew Scott
59,1548,20,10,992.37,9923.7000,2021-01-24,Stephanie Miller,Laptop,Australia,Ethan Christian
60,8889,493,2,327.07,654.1400,2023-02-06,Michael King,Keyboard,Asia,Sandra Lindsey
61,8617,265,2,1070.55,2141.1000,2022-06-03,Mark Mckenzie MD,Laptop,Europe,Jamie Campbell
62,8740,323,2,1383.94,2767.8800,2022-01-09,Kevin Walker,Headphones,Australia,Christina Lewis
63,6119,314,1,1811.99,1811.9900,2021-12-31,Gary Fischer,Headphones,North America,Lee Oneill
64,8681,233,9,1816.81,16351.2900,2022-03-21,Pamela Montes,Mouse,Asia,Wesley Rowe
65,7897,181,5,613.96,3069.8000,2019-03-14,Amy Hill,Mouse,Australia,Nathan Snyder
66,5981,373,10,557.86,5578.6000,2022-07-12,Tyler Ellis,Monitor,Australia,Heather Olson
67,3770,294,1,1329.82,1329.8200,2020-08-20,Danielle Sullivan,Headphones,Africa,Andre Brown
68,1447,147,8,210.89,1687.1200,2021-11-01,James Moore,Laptop,Asia,Heidi Phillips
69,5129,68,10,597.9,5979.0000,2023-10-23,Allison Lawson,Tablet,North America,Yolanda Garrett
70,2827,310,3,1824.76,5474.2800,2023-02-22,James Schneider,Smartphone,Africa,Kimberly Lindsey
71,8317,190,3,559.44,1678.3200,2022-12-06,Gary Andrade,Smartphone,South America,Vanessa Rodriguez
72,3962,410,9,1730.93,15578.3700,2020-12-03,Deanna Mcdonald,Laptop,Europe,Laura Bowen
73,3525,429,8,1517.88,12143.0400,2021-04-25,Jill Owen,Headphones,South America,Bonnie Young
74,4898,339,8,1465.7,11725.6000,2019-12-09,Bradley Cabrera,Smartphone,Australia,Mr. Nicholas Stewart
75,6653,28,5,1523.19,7615.9500,2019-08-26,Adam Brown,Laptop,Europe,Kelly Blackwell
76,8602,205,8,637.67,5101.3600,2023-03-09,Melinda Mclaughlin,Headphones,Australia,Victoria Patterson
77,4828,195,7,975.45,6828.1500,2019-10-25,Stephanie Rodriguez,Keyboard,South America,Michelle Livingston
78,1194,148,8,794.91,6359.2800,2020-10-08,Richard Everett,Keyboard,Africa,Teresa Gay
79,1672,50,9,1292.98,11636.8200,2023-09-26,Ricky Romero,Monitor,Australia,John Johnston
80,5466,172,5,570.82,2854.1000,2019-07-21,Brandon Garcia,Tablet,Africa,Courtney Butler
81,7408,237,4,1481.91,5927.6400,2022-04-20,Anthony Kennedy,Headphones,Europe,Justin Gonzalez
82,9518,173,3,660.88,1982.6400,2019-01-22,Nicole Adams,Mouse,North America,Ashley Barron
83,2113,7,7,240.51,1683.5700,2019-08-01,Jessica Blanchard,Mouse,South America,Julie Manning
84,6759,113,5,541.2,2706.0000,2019-03-11,Kayla Caldwell,Laptop,Australia,Kevin Bullock
85,2506,30,10,1330.38,13303.8000,2023-09-08,Reginald Delgado,Smartphone,Australia,Richard Schmitt
86,2995,363,2,218.45,436.9000,2022-05-23,Ashley Cooper,Smartphone,South America,Seth West
87,4027,459,2,1406.52,2813.0400,2020-06-02,Mark Evans,Tablet,South America,Michael Phillips
88,2240,328,8,1849.26,14794.0800,2020-07-20,Brian Craig,Headphones,South America,Richard Donaldson
89,6298,132,3,1572.43,4717.2900,2020-07-21,Edward Schultz,Headphones,North America,Robert Fitzpatrick
90,7271,199,6,1992.12,11952.7200,2020-06-12,Joseph Clark,Headphones,Asia,Christopher Flores
91,3915,226,2,1008.86,2017.7200,2020-02-15,Megan Wilson,Keyboard,South America,Danielle Smith
92,3923,331,8,261.44,2091.5200,2022-01-12,Margaret Tucker,Headphones,South America,Alicia Colon
93,4578,315,2,1829.59,3659.1800,2023-01-05,Angela Hancock,Tablet,North America,Ashley Mooney
